team,fourth_down_raw,motion_raw,injury_raw,analytics_tier,fourth_down_raw_z,motion_raw_z,injury_raw_z,analytics_tier_z,aii_score,aii_normalized,projected_wins_boost,baseline_wins,projected_wins
BAL,0,0.0,0,5,0,0,0,1.834994698282579,0.4587486745706448,1.0,0.2477242842681482,8.5,8.747724284268148
PHI,0,0.0,0,5,0,0,0,1.834994698282579,0.4587486745706448,1.0,0.2477242842681482,8.5,8.747724284268148
DET,0,0.0,0,5,0,0,0,1.834994698282579,0.4587486745706448,1.0,0.2477242842681482,8.5,8.747724284268148
SF,0,0.0,0,5,0,0,0,1.834994698282579,0.4587486745706448,1.0,0.2477242842681482,8.5,8.747724284268148
CIN,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
MIA,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
GB,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
MIN,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
LAC,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
KC,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
BUF,0,0.0,0,4,0,0,0,0.7815718159351724,0.1953929539837931,0.6666666666666665,0.10551219515124828,8.5,8.605512195151249
WAS,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
ARI,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
LV,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
JAX,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
TEN,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
IND,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
NO,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
ATL,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
TB,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
LA,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
SEA,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
DAL,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
HOU,0,0.0,0,3,0,0,0,-0.2718510664122342,-0.06796276660305856,0.33333333333333326,-0.036699893965651625,8.5,8.463300106034348
DEN,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
NE,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
NYG,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
CAR,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
CHI,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
NYJ,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
PIT,0,0.0,0,2,0,0,0,-1.3252739487596408,-0.3313184871899102,0.0,-0.17891198308255152,8.5,8.321088016917448
